woj;pow;gmi;nazwa;typ
12;;;MAŁOPOLSKIE;województwo
12;1;;bocheński;powiat
12;1;1;Bochnia;gmina miejska
12;1;2;Bochnia;gmina wiejska
12;1;3;Drwinia;gmina wiejska
12;1;4;Lipnica Murowana;gmina wiejska
12;1;5;Łapanów;gmina wiejska
12;1;6;Nowy Wiśnicz;gmina miejsko-wiejska
12;1;6;Nowy Wiśnicz;miasto
12;1;6;Nowy Wiśnicz;obszar wiejski
12;1;7;Rzezawa;gmina wiejska
12;1;8;Trzciana;gmina wiejska
12;1;9;Żegocina;gmina wiejska
12;2;;brzeski;powiat
12;2;1;Borzęcin;gmina wiejska
12;2;2;Brzesko;gmina miejsko-wiejska
12;2;2;Brzesko;miasto
12;2;2;Brzesko;obszar wiejski
12;2;3;Czchów;gmina miejsko-wiejska
12;2;3;Czchów;miasto
12;2;3;Czchów;obszar wiejski
12;2;4;Dębno;gmina wiejska
12;2;5;Gnojnik;gmina wiejska
12;2;6;Iwkowa;gmina wiejska
12;2;7;Szczurowa;gmina wiejska
12;3;;chrzanowski;powiat
12;3;1;Alwernia;gmina miejsko-wiejska
12;3;1;Alwernia;miasto
12;3;1;Alwernia;obszar wiejski
12;3;2;Babice;gmina wiejska
12;3;3;Chrzanów;gmina miejsko-wiejska
12;3;3;Chrzanów;miasto
12;3;3;Chrzanów;obszar wiejski
12;3;4;Libiąż;gmina miejsko-wiejska
12;3;4;Libiąż;miasto
12;3;4;Libiąż;obszar wiejski
12;3;5;Trzebinia;gmina miejsko-wiejska
12;3;5;Trzebinia;miasto
12;3;5;Trzebinia;obszar wiejski
12;4;;dąbrowski;powiat
12;4;1;Bolesław;gmina wiejska
12;4;2;Dąbrowa Tarnowska;gmina miejsko-wiejska
12;4;2;Dąbrowa Tarnowska;miasto
12;4;2;Dąbrowa Tarnowska;obszar wiejski
12;4;3;Gręboszów;gmina wiejska
12;4;4;Mędrzechów;gmina wiejska
12;4;5;Olesno;gmina wiejska
12;4;6;Radgoszcz;gmina wiejska
12;4;7;Szczucin;gmina miejsko-wiejska
12;4;7;Szczucin;miasto
12;4;7;Szczucin;obszar wiejski
12;5;;gorlicki;powiat
12;5;1;Gorlice;gmina miejska
12;5;2;Biecz;gmina miejsko-wiejska
12;5;2;Biecz;miasto
12;5;2;Biecz;obszar wiejski
12;5;3;Bobowa;gmina miejsko-wiejska
12;5;3;Bobowa;miasto
12;5;3;Bobowa;obszar wiejski
12;5;4;Gorlice;gmina wiejska
12;5;5;Lipinki;gmina wiejska
12;5;6;Łużna;gmina wiejska
12;5;7;Moszczenica;gmina wiejska
12;5;8;Ropa;gmina wiejska
12;5;9;Sękowa;gmina wiejska
12;5;10;Uście Gorlickie;gmina wiejska
12;6;;krakowski;powiat
12;6;1;Czernichów;gmina wiejska
12;6;2;Igołomia-Wawrzeńczyce;gmina wiejska
12;6;3;Iwanowice;gmina wiejska
12;6;4;Jerzmanowice-Przeginia;gmina wiejska
12;6;5;Kocmyrzów-Luborzyca;gmina wiejska
12;6;6;Krzeszowice;gmina miejsko-wiejska
12;6;6;Krzeszowice;miasto
12;6;6;Krzeszowice;obszar wiejski
12;6;7;Liszki;gmina wiejska
12;6;8;Michałowice;gmina wiejska
12;6;9;Mogilany;gmina wiejska
12;6;10;Skała;gmina miejsko-wiejska
12;6;10;Skała;miasto
12;6;10;Skała;obszar wiejski
12;6;11;Skawina;gmina miejsko-wiejska
12;6;11;Skawina;miasto
12;6;11;Skawina;obszar wiejski
12;6;12;Słomniki;gmina miejsko-wiejska
12;6;12;Słomniki;miasto
12;6;12;Słomniki;obszar wiejski
12;6;13;Sułoszowa;gmina wiejska
12;6;14;Świątniki Górne;gmina miejsko-wiejska
12;6;14;Świątniki Górne;miasto
12;6;14;Świątniki Górne;obszar wiejski
12;6;15;Wielka Wieś;gmina wiejska
12;6;16;Zabierzów;gmina wiejska
12;6;17;Zielonki;gmina wiejska
12;7;;limanowski;powiat
12;7;1;Limanowa;gmina miejska
12;7;2;Mszana Dolna;gmina miejska
12;7;3;Dobra;gmina wiejska
12;7;4;Jodłownik;gmina wiejska
12;7;5;Kamienica;gmina wiejska
12;7;6;Laskowa;gmina wiejska
12;7;7;Limanowa;gmina wiejska
12;7;8;Łukowica;gmina wiejska
12;7;9;Mszana Dolna;gmina wiejska
12;7;10;Niedźwiedź;gmina wiejska
12;7;11;Słopnice;gmina wiejska
12;7;12;Tymbark;gmina wiejska
12;8;;miechowski;powiat
12;8;1;Charsznica;gmina wiejska
12;8;2;Gołcza;gmina wiejska
12;8;3;Kozłów;gmina wiejska
12;8;4;Książ Wielki;gmina wiejska
12;8;5;Miechów;gmina miejsko-wiejska
12;8;5;Miechów;miasto
12;8;5;Miechów;obszar wiejski
12;8;6;Racławice;gmina wiejska
12;8;7;Słaboszów;gmina wiejska
12;9;;myślenicki;powiat
12;9;1;Dobczyce;gmina miejsko-wiejska
12;9;1;Dobczyce;miasto
12;9;1;Dobczyce;obszar wiejski
12;9;2;Lubień;gmina wiejska
12;9;3;Myślenice;gmina miejsko-wiejska
12;9;3;Myślenice;miasto
12;9;3;Myślenice;obszar wiejski
12;9;4;Pcim;gmina wiejska
12;9;5;Raciechowice;gmina wiejska
12;9;6;Siepraw;gmina wiejska
12;9;7;Sułkowice;gmina miejsko-wiejska
12;9;7;Sułkowice;miasto
12;9;7;Sułkowice;obszar wiejski
12;9;8;Tokarnia;gmina wiejska
12;9;9;Wiśniowa;gmina wiejska
12;10;;nowosądecki;powiat
12;10;1;Grybów;gmina miejska
12;10;2;Chełmiec;gmina wiejska
12;10;3;Gródek nad Dunajcem;gmina wiejska
12;10;4;Grybów;gmina wiejska
12;10;5;Kamionka Wielka;gmina wiejska
12;10;6;Korzenna;gmina wiejska
12;10;7;Krynica-Zdrój;gmina miejsko-wiejska
12;10;7;Krynica-Zdrój;miasto
12;10;7;Krynica-Zdrój;obszar wiejski
12;10;8;Łabowa;gmina wiejska
12;10;9;Łącko;gmina wiejska
12;10;10;Łososina Dolna;gmina wiejska
12;10;11;Muszyna;gmina miejsko-wiejska
12;10;11;Muszyna;miasto
12;10;11;Muszyna;obszar wiejski
12;10;12;Nawojowa;gmina wiejska
12;10;13;Piwniczna-Zdrój;gmina miejsko-wiejska
12;10;13;Piwniczna-Zdrój;miasto
12;10;13;Piwniczna-Zdrój;obszar wiejski
12;10;14;Podegrodzie;gmina wiejska
12;10;15;Rytro;gmina wiejska
12;10;16;Stary Sącz;gmina miejsko-wiejska
12;10;16;Stary Sącz;miasto
12;10;16;Stary Sącz;obszar wiejski
12;11;;nowotarski;powiat
12;11;1;Nowy Targ;gmina miejska
12;11;2;Szczawnica;gmina miejsko-wiejska
12;11;2;Szczawnica;miasto
12;11;2;Szczawnica;obszar wiejski
12;11;3;Czarny Dunajec;gmina wiejska
12;11;4;Czorsztyn;gmina wiejska
12;11;5;Jabłonka;gmina wiejska
12;11;6;Krościenko nad Dunajcem;gmina wiejska
12;11;7;Lipnica Wielka;gmina wiejska
12;11;8;Łapsze Niżne;gmina wiejska
12;11;9;Nowy Targ;gmina wiejska
12;11;10;Ochotnica Dolna;gmina wiejska
12;11;11;Raba Wyżna;gmina wiejska
12;11;12;Rabka-Zdrój;gmina miejsko-wiejska
12;11;12;Rabka-Zdrój;miasto
12;11;12;Rabka-Zdrój;obszar wiejski
12;11;13;Spytkowice;gmina wiejska
12;11;14;Szaflary;gmina wiejska
12;12;;olkuski;powiat
12;12;1;Bukowno;gmina miejska
12;12;3;Bolesław;gmina wiejska
12;12;4;Klucze;gmina wiejska
12;12;5;Olkusz;gmina miejsko-wiejska
12;12;5;Olkusz;miasto
12;12;5;Olkusz;obszar wiejski
12;12;6;Trzyciąż;gmina wiejska
12;12;7;Wolbrom;gmina miejsko-wiejska
12;12;7;Wolbrom;miasto
12;12;7;Wolbrom;obszar wiejski
12;13;;oświęcimski;powiat
12;13;1;Oświęcim;gmina miejska
12;13;2;Brzeszcze;gmina miejsko-wiejska
12;13;2;Brzeszcze;miasto
12;13;2;Brzeszcze;obszar wiejski
12;13;3;Chełmek;gmina miejsko-wiejska
12;13;3;Chełmek;miasto
12;13;3;Chełmek;obszar wiejski
12;13;4;Kęty;gmina miejsko-wiejska
12;13;4;Kęty;miasto
12;13;4;Kęty;obszar wiejski
12;13;5;Osiek;gmina wiejska
12;13;6;Oświęcim;gmina wiejska
12;13;7;Polanka Wielka;gmina wiejska
12;13;8;Przeciszów;gmina wiejska
12;13;9;Zator;gmina miejsko-wiejska
12;13;9;Zator;miasto
12;13;9;Zator;obszar wiejski
12;14;;proszowicki;powiat
12;14;1;Koniusza;gmina wiejska
